المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
105,"المقاصد الخيرية في الميدان باب مصلى",73,76,,,,3,جمعية,,,1,دمشق,
106,"المحدث الاكبر الشيخ بدر الدين الحسني",73,76,,,,3,جمعية,,,1,دمشق,
107,"حاملات الطيب الصحناوية",73,76,,,,3,جمعية,,,1,دمشق,
108,"السورية لمكافحة السل والامراض التنفسية",73,76,,,,3,جمعية,,,1,دمشق,
109,"الترقي الثقافي",73,76,,,,3,جمعية,,,1,دمشق,
110,"دير عطية الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
111,"القديس اليان الحمصي للرجال",73,76,,,,3,جمعية,,,1,دمشق,
112,"المدرسة الهاشمية",73,76,,,,3,جمعية,,,1,دمشق,
113,"إصلاح ذات البين",73,76,,,,3,جمعية,,,9,حمص,
114,"دوحة الادب",73,76,,,,3,جمعية,,,1,دمشق,
115,"القديس جاورجيوس الأرذوكسية بعربين",73,76,,,,3,جمعية,,,13,"ريف دمشق",
116,"القديس لاونديوس للروم الكاثوليك",73,76,,,,3,جمعية,,,1,دمشق,
117,"نادي التمثيل العربي",73,76,,,,4,نادي,,,2,حلب,
118,"حماية الطفولة بحماة",90,82,,,,3,جمعية,,,8,حماة,
119,"المواساة الإسلامية بحلب",73,76,,,,3,جمعية,,,2,حلب,
120,"الهداية الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
121,"النادي العربي",73,76,,,,4,نادي,,,1,دمشق,
122,"الاحسان الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
123,"المعهد العربي الاسلامي",73,76,,,,3,جمعية,,,1,دمشق,
124,"القديس يوحنا الدمشقي",73,76,,,,3,جمعية,,,1,دمشق,
125,"الخيرية الاصلاحية في البيضا",73,76,,,,3,جمعية,,,8,حماة,
126,"المبرات الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
127,"المدرسة اليوسفية",83,78,,,,3,جمعية,,,1,دمشق,
128,"الزهراء في بانياس",73,76,,,,3,جمعية,,,14,طرطوس,
129,"الجيل الجديد الثقافية بحلب",80,78,,,,3,جمعية,,,2,حلب,
130,"نادي النهضة",73,76,,,,4,نادي,,,2,حلب,
131,"الخيرية لمواساة الفقراء بحلب",73,76,,,,3,جمعية,,,2,حلب,
132,"الاخاء الخيري",73,76,,,,3,جمعية,,,1,دمشق,
133,"النبي الياس بمعرونة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
134,"اتحاد جمعيات رعاية المكفوفين",73,76,,,,2,اتحاد,,,1,دمشق,
135,"النادي الفني للتمثيل والموسيقا",73,76,,,,4,نادي,,,1,دمشق,
136,"مأذنة الشحم الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
137,"الصليب لإعانة الأرمن الأرثوذكس بحلب",87,82,,,,3,جمعية,,,2,حلب,
138,الغراء,90,86,,,,3,جمعية,,,1,دمشق,
139,"مستخدمي وزارة التربية",73,76,,,,3,جمعية,,,1,دمشق,
140,"القديس الياس الغيور الصحناوية",73,76,,,,3,جمعية,,,1,دمشق,
141,"الفرقة الشعبية للآداب والفنون",90,82,,,,3,جمعية,,,2,حلب,
142,"دار العجزة والمسنين في حماة",91,84,,,,3,جمعية,,,,,
143,"الجمعية الخيرية الإسلامية",90,88,,,,3,جمعية,,,1,دمشق,
144,"الطبية العربية",73,76,,,,3,جمعية,,,1,دمشق,
145,"نادي موظفي وعمال الشركة السورية لنقل النفط",73,76,,,,4,نادي,,,9,حمص,
146,"القديس بندلايمون لليتامى",73,76,,,,3,جمعية,,,1,دمشق,
147,"رابطة موظفي ومستخدمي مصرف سورية المركزي",73,76,,,,5,رابطة,,,2,حلب,
148,"جمعية الثقافة الوطنية",78,76,,,,3,جمعية,,,,,
149,"مشاريع الكلمة الخيرية",73,76,,,,3,جمعية,,,2,حلب,
150,"النبي الياس الغيور الخيرية الارثوذكسية لأبناء حينة بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
151,"الأعمال الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
152,"ندوة الشعلة الثقافية",73,76,,,,3,جمعية,,,2,حلب,
153,"رفع المستوى الصحي والاجتماعي بحلب",83,82,,,,3,جمعية,,,2,حلب,
154,"المساعي الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
155,"الجيولوجية السورية",73,76,,,,3,جمعية,,,1,دمشق,
156,"النادي السوري لهواة الطوابع",73,76,,,,4,نادي,,,1,دمشق,
157,"التهذيب والتعليم",73,76,,,,3,جمعية,,,1,دمشق,
158,"جمعية الشبيبة الأرمنية بحلب",73,76,,,,3,جمعية,,,2,حلب,
159,"جمعية السيدات الإنجيلية الخيرية",83,78,,,,3,جمعية,,,9,حمص,
160,"الجمعية الخيرية الإسلامية",100,90,"2023-10-11 13:46:51",,,3,جمعية,,,9,حمص,
161,"التعليم ومكافحة الأمية بحلب",90,84,,,,3,جمعية,,,2,حلب,
162,"الشاغور الخيرية",83,78,,,,3,جمعية,,,1,دمشق,
163,"لواء اسكندرون",73,76,,,,3,جمعية,,,1,دمشق,
164,"النادي الادبي النسائي",73,76,,,,4,نادي,,,1,دمشق,
165,"البر والاحسان الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
166,"دار الحديث الأشرفية",73,76,,,,3,جمعية,,,1,دمشق,
167,"اغاثة الفقير في باب سريجة",73,76,,,,3,جمعية,,,1,دمشق,
168,"الجغرافية السورية",73,76,,,,3,جمعية,,,2,حلب,
169,"النبي الياس الغيور الارثوذكسية بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
170,"الرحمة والاحسان",73,76,,,,3,جمعية,,,1,دمشق,
171,"المقاصد الخيرية المغربية",73,76,,,,3,جمعية,,,1,دمشق,
172,"المساعي الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
173,"حي القنوات الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
174,"السورية للفنون",73,76,,,,3,جمعية,,,1,دمشق,
175,"الشبان السريانية",73,76,,,,3,جمعية,,,1,دمشق,
176,"خريجي المعاهد التجارية",73,76,,,,3,جمعية,,,1,دمشق,
177,"البر والاصلاح الخيرية في الميدان",83,80,,,,3,جمعية,,,1,دمشق,
178,"جوبر الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
179,"الخيرية لشباب معلولا بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
180,"نادي الشبيبة المثقفة بحلب",100,88,,,,4,نادي,,,2,حلب,
181,"حماية الاحداث بحلب",73,80,,,,3,جمعية,,,2,حلب,
182,"نادي شباب العروبة للآداب والفنون بحلب",78,76,,,,4,نادي,,,,,
183,"جورج ومتيلد سالم الخيرية",90,82,,,,1,مؤسسة,,,2,حلب,
184,"البر والاحسان الخيرية في برزة",73,76,,,,3,جمعية,,,1,دمشق,
185,"القديسة بربارة لشباب معلولا بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
186,"جمعية النهضة العربية للخدمات الاجتماعية",73,78,,,,1,مؤسسة,,,9,حمص,
187,"نادي الشبيبة السورية",73,76,,,,4,نادي,,,2,حلب,
188,"اسعاف الفقراء في حي المهاجرين",73,76,,,,3,جمعية,,,1,دمشق,
189,"المعري تيكيان الثقافية بحلب",73,76,,,,3,جمعية,,,2,حلب,
190,"الخيرية العمومية الأرمنية بحلب",73,76,,,,3,جمعية,,,2,حلب,
191,"نادي حلب العائلي",83,78,,,,4,نادي,,,2,حلب,
192,"مار جريس الخيرية",100,86,,,,3,جمعية,,,12,القنيطرة,
193,"فرقة المسرح الحر",83,78,,,,3,جمعية,,,1,دمشق,
194,"النبي الياس الغيور بصحنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
195,"الخيرية العمومية الأرمنية في اللاذقية",73,76,,,,3,جمعية,,,11,اللاذقية,
196,"المشاريع الخيرية النسائية",90,82,,,,3,جمعية,,,2,حلب,
197,"الكيميائية السورية",73,76,,,,3,جمعية,,,1,دمشق,
198,"القديس جاورجيوس الخيرية الأرثوذكسية بصيدنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
199,"القديس اليان الحمصي الارثوذكسي للسيدات",73,76,,,,3,جمعية,,,1,دمشق,
200,"تقدم المكفوفين بحلب",73,76,,,,3,جمعية,,,2,حلب,
201,"حماية الاحداث",73,76,,,,3,جمعية,,,7,"دير الزور",
202,"الخيرية لأبناء لواء اسكندرونة العربي بحلب",73,76,,,,3,جمعية,,,2,حلب,
203,"رعاية المساجد والشعائر الاسلامية في حماة",68,74,,,,3,جمعية,,,,,
204,"البر والخدمات الاجتماعية باللاذقية",73,78,,,,3,جمعية,,,11,اللاذقية,
205,"التضامنية للعاملين في العامة للمعارض والاسواق الدولية",73,76,,,,3,جمعية,,,1,دمشق,
206,"الرابطة الخيرية للسريان الكاثوليك",90,84,,,,5,رابطة,,,9,حمص,
207,"الرابطة الخيرية لحي الحقلة",73,76,,,,5,رابطة,,,1,دمشق,
208,"النادي الأفرامي",73,76,,,,4,نادي,,,2,حلب,
209,"جمعية نور الاحسان الخيرية",73,76,,,,3,جمعية,,,2,حلب,
210,"سيدات الحنان",83,78,,,,3,جمعية,,,2,حلب,
211,"الخيرية العامة في صيدنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
212,"أصدقاء الفقير الارثوذكسية",78,78,,,,3,جمعية,,,,,
213,"التعليم والرعاية للأيتام والعجزة السعوديين",73,76,,,,3,جمعية,,,1,دمشق,
214,"البر والخدمات الاجتماعية بجبلة",73,76,,,,3,جمعية,,,11,اللاذقية,
215,"الفتح الاسلامي",83,78,,,,3,جمعية,,,1,دمشق,
216,"التمدن الاسلامي",73,76,,,,3,جمعية,,,1,دمشق,
217,"التضامن الخيرية بحلب",90,84,,,,3,جمعية,,,2,حلب,
218,"النهضة الثقافية",73,76,,,,3,جمعية,,,2,حلب,
219,"البر والخدمات الاجتماعية - جسر الشغور",73,76,,,,3,جمعية,,,10,إدلب,
220,"الخيرية الاسلامية لميتم اعزاز",73,76,,,,3,جمعية,,,2,حلب,
221,"النهضة - عيون الوادي",73,76,,,,3,جمعية,,,9,حمص,
222,"النادي الموسيقي",73,76,,,,4,نادي,,,11,اللاذقية,
223,"المنتدى الاجتماعي",73,76,,,,3,جمعية,,,1,دمشق,
224,"التعليم المسيحي الكاثوليكية",73,76,,,,3,جمعية,,,2,حلب,
225,"الرابطة الفنية بحماة",73,76,,,,5,رابطة,,,8,حماة,
226,"الخيرية لإغاثة فقراء كفرسوسة",73,76,,,,3,جمعية,,,1,دمشق,
227,"الاصلاحية لقرية عين الشعرة",73,76,,,,3,جمعية,,,1,دمشق,
228,"الخيرية لإغاثة المحتاجين بدوما",83,78,,,,3,جمعية,,,13,"ريف دمشق",
229,"رابطة طلاب المغرب العربي",73,76,,,,5,رابطة,,,1,دمشق,
230,"الخيرية العمومية للطوائف الارمنية",73,76,,,,3,جمعية,,,1,دمشق,
231,"الغسانية الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
232,"القديس منصور الخيرية بحلب",73,76,,,,3,جمعية,,,2,حلب,
233,"السورية للوقاية من العمى بحلب",85,78,,,,3,جمعية,,,,,
234,"عضد الفقراء الأرثوذكسية",83,80,,,,3,جمعية,,,9,حمص,
235,"النهضة النسائية",73,76,,,,3,جمعية,,,7,"دير الزور",
236,"الخيرية الإسلامية بدير عطية",100,86,,,,3,جمعية,,,13,"ريف دمشق",
237,"جمعية رعاية الطفل",73,76,,,,3,جمعية,,,9,حمص,
238,"رعاية الطفولة",83,80,,,,3,جمعية,,,11,اللاذقية,
239,"الخيرية الإسلامية",83,80,,,,3,جمعية,,,9,حمص,
240,"رعاية الصم بدمشق",73,76,,,,3,جمعية,,,1,دمشق,
241,"القدم الشريف الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
242,"اتحاد الجمعيات الخيرية في حلب",96,84,,,,3,جمعية,,,2,حلب,
243,"المحاسبين القانونيين",73,76,,,,3,جمعية,,,1,دمشق,
244,"كفالة الطفولة بحلب",73,76,,,,3,جمعية,,,2,حلب,
245,"الامل لحماية الاحداث بحماة",80,80,,,,3,جمعية,,,8,حماة,
246,"اسعاف المؤذنين",73,76,,,,3,جمعية,,,1,دمشق,
247,"الاتحاد العلمي السوري",73,76,,,,3,جمعية,,,1,دمشق,
248,"نادي الرابطة الأخوية بحمص",73,76,,,,4,نادي,,,9,حمص,
249,"نادي الرابطة الأخوية",73,76,,,,4,نادي,,,9,حمص,
250,"حماية الأحداث بحمص – دار الضيافة للبنات",73,76,,,,3,جمعية,,,9,حمص,
251,"الإمام علي الرضا",73,76,,,,3,جمعية,,,11,اللاذقية,
252,"رابطة طلاب اليمن الطبيعية رابطة طلاب الجزيرة العربية",73,76,,,,5,رابطة,,,1,دمشق,
253,"الخيرية للروم الكاثوليك",73,76,,,,3,جمعية,,,9,حمص,
254,"أطباء الأطفال السورية",73,76,,,,3,جمعية,,,1,دمشق,
255,"رابطة رجال الثورة السورية في حلب",73,76,,,,5,رابطة,,,2,حلب,
256,"رعاية المسجونين",90,80,,,,3,جمعية,,,9,حمص,
257,"البر والخدمات الاجتماعية في تدمر",73,76,,,,1,مؤسسة,,,9,حمص,
258,"اتحاد جمعيات متقاعدي الجيش والشرطة",73,76,,,,2,اتحاد,,,1,دمشق,
259,"جمعية رعاية الصم والبكم في حلب",75,76,,,,3,جمعية,,,,,
260,"رعاية المساجين واسرهم بدمشق",73,78,,,,3,جمعية,,,1,دمشق,
261,"رابطة الخريجين الجامعيين",73,76,,,,5,رابطة,,,9,حمص,
262,"اسعاف الفقراء للسريان الأرثوذكس",90,86,,,,3,جمعية,,,9,حمص,
263,"الخيرية الإسلامية الجعفرية باللاذقية",100,86,,,,3,جمعية,,,11,اللاذقية,
264,"حماية الأحداث بالقامشلي",73,76,,,,3,جمعية,,,3,الحسكة,
265,"البر والتقوى بمعربا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
266,"جمعية التعليم الشرعي بحلب",90,80,,,,3,جمعية,,,2,حلب,
267,"خريجي المدارس والمعاهد الزراعية والبيطرية",73,76,,,,3,جمعية,,,1,دمشق,
268,"البر والخدمات الاجتماعية للفلسطينيين في حماة",73,76,,,,3,جمعية,,,8,حماة,
269,"نادي الخيام للثقافة والفنون بحمص",73,76,,,,4,نادي,,,9,حمص,
270,"نادي موظفي المصارف والتأمين",73,76,,,,4,نادي,,,9,حمص,
