المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
1049,المثقال,67,73,,,,1,مؤسسة,,,1,دمشق,
1050,نون,67,73,,,,1,مؤسسة,,,1,دمشق,
1051,شقحب,73,76,,,,3,جمعية,,,13,"ريف دمشق",
1052,بريكة,73,75,,,,3,جمعية,,,,,
1053,"نحنا معك",67,73,,,,1,مؤسسة,,,11,اللاذقية,
1054,جدايل,67,73,,,,1,مؤسسة,,,1,دمشق,
1055,"الخير بعم",67,73,,,,3,جمعية,,,11,اللاذقية,
1056,"أنابيلا لرعاية الطفولة والأمومة",73,76,,,,1,مؤسسة,,,13,"ريف دمشق",
1057,"بيت الحيوان الأليف",67,73,,,,3,جمعية,,,9,حمص,
1058,"الانصاف الخيرية",73,76,,,,1,مؤسسة,,,13,"ريف دمشق",
1059,"القدم للأعمال الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1060,"أمومة واعية",67,73,,,,1,مؤسسة,,,1,دمشق,
1061,"الزبداني الخيرية",73,76,,,,1,مؤسسة,,,13,"ريف دمشق",
1062,البوصلة,73,76,,,,1,مؤسسة,,,13,"ريف دمشق",
1063,"الرافقة للخدمات الاجتماعية",73,76,,,,3,جمعية,,,4,الرقة,
1064,سندس,73,76,,,,3,جمعية,,,13,"ريف دمشق",
1065,جوى,83,78,,,,1,مؤسسة,,,8,حماة,
1066,"الملتقى الثقافي الخيري",100,86,,,,1,مؤسسة,,,14,طرطوس,
1067,"مرانة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1068,"واجب للثقافة والتنمية",57,55,,,,1,مؤسسة,,,12,القنيطرة,
1069,روح,67,73,,,,1,مؤسسة,,,9,حمص,
1070,"مؤسسة تآزر للتنمية _ تآزر",80,80,,,,1,مؤسسة,,,1,دمشق,
1071,"التماسك الاجتماعي",67,73,,,,3,جمعية,,,11,اللاذقية,
1072,"التأثير للتنمية والإسكان",83,78,,,,3,جمعية,,,4,الرقة,
1073,"أبناء البلد",67,73,,,,3,جمعية,,,11,اللاذقية,
1074,اتقان,57,55,,,,3,جمعية,,,8,حماة,
1075,"سماعة حكيم",67,73,,,,1,مؤسسة,,,1,دمشق,
1076,"الديماس الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1077,غاردينيا,67,73,,,,1,مؤسسة,,,1,دمشق,
1078,"القيسا الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1079,"محبة ووفا",67,73,,,,3,جمعية,,,,,
1080,صدف,67,73,,,,3,جمعية,,,1,دمشق,
1081,بشنين,57,55,,,,3,جمعية,,,8,حماة,
1082,مسانا,73,76,,,,1,مؤسسة,,,13,"ريف دمشق",
1083,"سلفي وحبيب بيتنجانة",67,73,,,,1,مؤسسة,,,1,دمشق,
1084,"القلب الابيض",67,73,,,,1,مؤسسة,,,2,حلب,
1085,"نسائم الخير",73,78,,,,3,جمعية,,,11,اللاذقية,
1086,ريتاج,73,76,,,,3,جمعية,,,13,"ريف دمشق",
1087,"قنوات الخير",67,73,,,,1,مؤسسة,,,,,
1088,"العزم للريادة والتنمية",67,73,,,,1,مؤسسة,,,1,دمشق,
1089,"بشيلي الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1090,"رساس الخيرية",67,73,,,,3,جمعية,,,,,
1091,"سعيد سورية",67,73,,,,1,مؤسسة,,,1,دمشق,
1092,"معر شحور الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1093,"القلوب الكبيرة لدعم وتأهيل المعاقين بالزبداني",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1094,"بكسا الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1095,"فلسقو الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1096,"دفن الموتى شريفا",67,73,,,,3,جمعية,,,11,اللاذقية,
1097,"قرقفتي الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1098,"رتوش الاجتماعية",67,73,,,,3,جمعية,,,11,اللاذقية,
1099,"النور في القديمسية",73,76,,,,3,جمعية,,,14,طرطوس,
1100,"الصحة الخيرية بالنشابية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1101,"زينب الخيرية",90,82,,,,3,جمعية,,,1,دمشق,
1102,"فجليت الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1103,"جورة الجواميس الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1104,"الصنوبر لحماية البيئة",67,73,,,,3,جمعية,,,,,
1105,"القريا الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1106,"نور الغد الخيرية لرعاية المعوقين بالكسوة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1107,"سنا الخيرية للمعاقين بالمراح",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1108,الزللو,100,86,,,,3,جمعية,,,14,طرطوس,
1109,"الزواج والأسرة الخيرية بداريا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1110,"بحنين الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1111,"البركة للتنمية الاجتماعية",67,73,,,,3,جمعية,,,1,دمشق,
1112,"جمعية شمس الغد للمعاقين جسدياً بحلب",67,73,,,,3,جمعية,,,2,حلب,
1113,"النادي الاجتماعي الثقافي للسيدات المتقاعدات في اللاذقية",67,73,,,,4,نادي,,,11,اللاذقية,
1114,"عرطوز الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1115,"الشروق الاجتماعية الخيرية بكفر حور",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1116,"صلخد الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1117,"البر الخيرية في حزة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1118,"دنيا الامان",67,73,,,,3,جمعية,,,1,دمشق,
1119,"ارسم حلمي",67,73,,,,3,جمعية,,,11,اللاذقية,
1120,"بعمرة الخيرية",100,86,,,,3,جمعية,,,14,طرطوس,
1121,"الحوران الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1122,"حرجلة الخيرية",83,80,,,,3,جمعية,,,13,"ريف دمشق",
1123,"الرضا للبر والخدمات الاجتماعية",67,73,,,,3,جمعية,,,6,درعا,
1124,"النفس الزكية في دير ماكر",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1125,"عورو الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1126,"نبع الصخر الخيرية",67,61,,,,3,جمعية,,,12,القنيطرة,
1127,"النسور الدمشقية للسيف والترس والعراضة الشعبية",67,73,,,,3,جمعية,,,1,دمشق,
1128,"اهل البر الخيرية الاصلاحية في بقراقة وطير جملة",57,55,,,,3,جمعية,,,8,حماة,
1129,"السورية لتأهيل المعاقين حركياً",67,73,,,,3,جمعية,,,,,
1130,"دير البخت الخيرية",67,73,,,,3,جمعية,,,6,درعا,
1131,"نادي السيارات السوري",67,73,,,,4,نادي,,,1,دمشق,
1132,"الرحمة المهداة بمعضمية الشام",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1133,"رواد الفكر التنويري",90,80,,,,3,جمعية,,,2,حلب,
1134,"الميدعاني الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1135,"الاولمبياد الخاص السوري",67,73,,,,1,مؤسسة,,,1,دمشق,
1136,الايثار,67,73,,,,3,جمعية,,,2,حلب,
1137,"جمعية الاخلاص الخيرية - الزيارة",57,55,,,,3,جمعية,,,8,حماة,
1138,"الوفاق الاجتماعي- معاً نحيا",67,73,,,,3,جمعية,,,2,حلب,
1139,"كفركمرة الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1140,"توفير فرص العمل",67,73,,,,1,مؤسسة,,,1,دمشق,
1141,"الربوة الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1142,"الاحسان الخيرية",67,73,,,,3,جمعية,,,6,درعا,
1143,"المحللين الماليين",67,73,,,,3,جمعية,,,1,دمشق,
1144,"قارة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1145,"رابطة خريجي المعهد العالي لإدارة الاعمال",67,73,,,,5,رابطة,,,1,دمشق,
1146,"المشعل الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1147,"بيت العطاء",67,73,,,,3,جمعية,,,1,دمشق,
1148,النرجس,67,73,,,,3,جمعية,,,1,دمشق,
1149,"حياة لمساعدة المصابين بالأمراض المستعصية بالنبك",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1150,جذور,67,73,,,,1,مؤسسة,,,1,دمشق,
1151,"جمعية الرجاء لرعاية وتأهيل ذوي الإعاقة",83,80,,,,3,جمعية,,,1,دمشق,
1152,النماء,67,73,,,,3,جمعية,,,1,دمشق,
1153,"نادي الاحياء العربي",67,73,,,,4,نادي,,,1,دمشق,
1154,"بويضة زمام الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1155,"بإخلاص سورية",67,73,,,,3,جمعية,,,1,دمشق,
1156,"القطيلبية الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1157,"السورية للتغذية وعلوم الاغذية",67,73,,,,3,جمعية,,,1,دمشق,
1158,"الرحمة لدفن الموتى",73,76,,,,3,جمعية,,,14,طرطوس,
1159,"اوكسجين لمكافحة التدخين",67,73,,,,3,جمعية,,,1,دمشق,
1160,"الجبة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1161,"التكافل لرعاية الأطفال المعاقين جسدياً",67,73,,,,3,جمعية,,,9,حمص,
1162,"الحنان الخيرية للإعاقة في سقبا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1163,"الوطنية لاندماج ذوي الاحتياجات الخاصة في المجتمع",67,73,,,,3,جمعية,,,11,اللاذقية,
1164,"القنجرة الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1165,"منظمي ومجهزي المعارض والمؤتمرات",67,73,,,,3,جمعية,,,1,دمشق,
1166,"قلعة جندل الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1167,"البركة الخيرية بمضايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1168,"السنا التعليمية الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1169,"الرحمة الخيرية في البهدلية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1170,"بقية الله الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1171,"أصدقاء البيئة بصحنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1172,"الرجاء لرعاية المعوقين وذوي الاحتياجات الخاصة",83,80,,,,3,جمعية,,,9,حمص,
1173,"شباب الخير",67,73,,,,3,جمعية,,,9,حمص,
1174,"حواش الإصلاحية",67,73,,,,3,جمعية,,,9,حمص,
1175,"الصحة الخيرية حجيرة البلد",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1176,"الاخلاص لرعاية وتأهيل الطفل المعوق",67,73,,,,3,جمعية,,,1,دمشق,
1177,"نادي مبدعي فن التصوير الضوئي",67,73,,,,4,نادي,,,2,حلب,
1178,"الخيرية التركمانية",67,73,,,,3,جمعية,,,2,حلب,
1179,"الانوار في بلدة الزهراء",67,73,,,,3,جمعية,,,2,حلب,
1180,"خريجي المعهد الوطني للإدارة العامة",67,73,,,,3,جمعية,,,1,دمشق,
1181,"آفاق للأبداع الأدبي",67,73,,,,3,جمعية,,,2,حلب,
1182,"ايماء لخدمة الصم",67,73,,,,3,جمعية,,,1,دمشق,
1183,"الروابي الخضراء",67,73,,,,3,جمعية,,,11,اللاذقية,
1184,"النادي السوري للدراجات",67,73,,,,4,نادي,,,1,دمشق,
1185,"مدد (عين الكروم الخيرية سابقاً )",57,55,,,,3,جمعية,,,8,حماة,
1186,"السلامة المرورية",67,73,,,,3,جمعية,,,9,حمص,
1187,"صندوق الاخوة",67,73,,,,3,جمعية,,,1,دمشق,
1188,"الكريم ومزرعة بيت عقول",100,86,,,,3,جمعية,,,14,طرطوس,
1189,"كبارنا لرعاية المسنين والتنمية الاسرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1190,"الإحسان الخيرية بالمليحة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1191,"السورية للدراجات الكلاسيكية",67,73,,,,3,جمعية,,,1,دمشق,
1192,الفجر,67,73,,,,3,جمعية,,,2,حلب,
1193,"الأسد العلمية لأصحاب الإعاقة الحركية",67,73,,,,3,جمعية,,,2,حلب,
1194,"رابطة البرلمانيين السوريين السابقين",67,73,,,,5,رابطة,,,1,دمشق,
1195,"كافل اليتيم الخيرية بكفر بطنا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1196,"السورية للمعارض والمؤتمرات",67,73,,,,3,جمعية,,,1,دمشق,
1197,الوان,57,55,,,,3,جمعية,,,8,حماة,
1198,"عدرا البلد الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1199,"باسل الأسد لرعاية المسنين",73,76,,,,3,جمعية,,,4,الرقة,
1200,"السيدة زينب الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1201,"حتيتة التركمان الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1202,"سيدي مقداد الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1203,"حماية البيئة بالحسكة",67,73,,,,3,جمعية,,,3,الحسكة,
1204,"الخيرية لمساعدة مرضى الجهاز التنفسي والتحسس",67,73,,,,3,جمعية,,,11,اللاذقية,
1205,"دير البشل الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1206,"الرجاء لذوي الإعاقة",67,73,,,,3,جمعية,,,2,حلب,
1207,"بيت الحياة",67,73,,,,3,جمعية,,,9,حمص,
1208,"المغير الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1209,"الإخاء / داما /",67,73,,,,3,جمعية,,,5,السويداء,
1210,"سهوة الخضر الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1211,"الإخلاص للمعوقين/القريا/",67,73,,,,3,جمعية,,,5,السويداء,
1212,"مردك الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1213,"التغذية السورية",67,73,,,,1,مؤسسة,,,9,حمص,
1214,"قراصة الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1215,"ذيبين الخيرية",67,73,,,,3,جمعية,,,5,السويداء,
1216,"الزراعة العضوية /oac/",67,73,,,,3,جمعية,,,1,دمشق,
1217,"حفظ النعمة الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1218,"العلمية السورية للتقانات الحيوية",67,73,,,,3,جمعية,,,2,حلب,
1219,سقوبين,67,73,,,,3,جمعية,,,11,اللاذقية,
1220,"الحيلونة الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1221,"السورية للتسويق",67,73,,,,3,جمعية,,,1,دمشق,
1222,"الصحة الخيرية بالقطيفة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1223,"شام للفنون",67,73,,,,3,جمعية,,,5,السويداء,
1224,"عبد القادر الجزائري الدولية للثقافة والتراث",67,73,,,,1,مؤسسة,,,1,دمشق,
1225,"النهضة التنموية للأطفال المكفوفين",67,73,,,,3,جمعية,,,1,دمشق,
1226,"الانماء والاكتفاء الذاتي للأيتام والفقراء",67,73,,,,3,جمعية,,,1,دمشق,
1227,"حيفا الشبابية للتنمية",67,73,,,,3,جمعية,,,1,دمشق,
1228,"تنمية المجتمع المحلي",67,73,,,,3,جمعية,,,,,
1229,"أصدقاء اللغة العربية",67,73,,,,3,جمعية,,,2,حلب,
1230,"عين العرب الخيرية للمعاقين حركياً",67,73,,,,3,جمعية,,,2,حلب,
1231,"الانماء الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1232,"الرحمة بمركدة",67,73,,,,3,جمعية,,,3,الحسكة,
1233,"أسر الشهداء",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1234,"سوق الضيعة",67,73,,,,3,جمعية,,,11,اللاذقية,
1235,"جبلة لحماية البيئة",67,73,,,,3,جمعية,,,11,اللاذقية,
1236,"زياد الخيرية",67,73,,,,1,مؤسسة,,,1,دمشق,
1237,"أصدقاء مرضى الشلل الدماغي",67,73,,,,3,جمعية,,,2,حلب,
1238,"منتدى الجولان العربي للثقافة",67,73,,,,3,جمعية,,,1,دمشق,
1239,"فقراء المحتاجين",57,55,,,,3,جمعية,,,5,السويداء,
1240,"المعونة الخيرية الاجتماعية",67,73,,,,3,جمعية,,,1,دمشق,
1241,"السورية لخريجي المؤسسات التعليمية الايطالية",67,73,,,,3,جمعية,,,1,دمشق,
1242,"القسطل الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1243,"حديدة الخيرية",67,73,,,,3,جمعية,,,9,حمص,
1244,"تل شنان للخدمات الاجتماعية",67,73,,,,3,جمعية,,,9,حمص,
1245,"المعوقين المخترعين بالحسكة",67,73,,,,3,جمعية,,,3,الحسكة,
1246,"الإمام الهادي الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1247,"شقا الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1248,"وديان الربيع الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1249,"شنيرة الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1250,"شام الياسمين للتراث الدمشقي والتأهيل المهني",67,73,,,,3,جمعية,,,1,دمشق,
1251,"ابناء الجولان الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1252,"عين التينة الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1253,"الشجرة الطيبة لرعاية الاسرة",67,73,,,,3,جمعية,,,1,دمشق,
1254,"بصمة شباب سوريا",67,73,,,,1,مؤسسة,,,,,
1255,"رابطة المصدرين السوريين للألبسة والنسيج",67,73,,,,5,رابطة,,,2,حلب,
1256,"الوفاء للوطن",67,73,,,,3,جمعية,,,1,دمشق,
1257,"البناء عطاء",67,73,,,,1,مؤسسة,,,1,دمشق,
1258,"الكلمة الطيبة الخيرية",67,73,,,,3,جمعية,,,9,حمص,
1259,"السورية لفن الخط العربي",67,73,,,,3,جمعية,,,2,حلب,
1260,"الوطنية للاختراع والبحث العلمي",67,73,,,,3,جمعية,,,1,دمشق,
1261,"التاريخية السورية",67,73,,,,3,جمعية,,,2,حلب,
1262,"رابطة الوعي العربي",67,73,,,,5,رابطة,,,2,حلب,
1263,"السورية لدعم اسر الشهداء ( تموز )",67,73,,,,3,جمعية,,,1,دمشق,
1264,"السورية لمكافحة الايدز والامراض المشابهة",67,73,,,,3,جمعية,,,1,دمشق,
1265,"دار الأماني لذوي الاحتياجات الخاصة",67,73,,,,3,جمعية,,,11,اللاذقية,
1266,"جنى للتأهيل المهني لذوي الاحتياجات الخاصة",67,73,,,,3,جمعية,,,11,اللاذقية,
1267,"سلامة الغذاء بقدسيا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1268,الإخلاص,67,73,,,,3,جمعية,,,9,حمص,
1269,"السورية لعلاج سرطان الأطفال ورعايتهم",67,73,,,,3,جمعية,,,2,حلب,
1270,شركاء,67,73,,,,3,جمعية,,,1,دمشق,
1271,"لجنة حماية الوطن",67,73,,,,3,جمعية,,,1,دمشق,
1272,"جمعية البر والإحسان الخيرية",100,88,"2023-10-14 09:11:37",,,3,جمعية,,,2,حلب,
1273,"البلد الأمين",67,73,,,,3,جمعية,,,9,حمص,
1274,"الشام للصحة",67,73,,,,3,جمعية,,,1,دمشق,
1275,"شبابنا والبيئة /سهوة الخضر/",57,55,,,,3,جمعية,,,5,السويداء,
1276,"كفر اللحف الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1277,"القدس للثقافة والتراث",67,73,,,,1,مؤسسة,,,1,دمشق,
1278,"معاَ نرتقي",100,92,"2023-10-12 19:16:40",,,3,جمعية,,,2,حلب,
1279,الأحمدية,73,76,,,,3,جمعية,,,13,"ريف دمشق",
1280,الطواحين,73,76,,,,3,جمعية,,,14,طرطوس,
1281,"طيرو الخيرية",83,78,,,,3,جمعية,,,14,طرطوس,
1282,"دوير الشيخ سعد",83,78,,,,3,جمعية,,,14,طرطوس,
1283,"جليتي الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1284,"بدرية الخيرية",100,86,,,,3,جمعية,,,14,طرطوس,
1285,"الوطن السورية",67,73,,,,3,جمعية,,,1,دمشق,
1286,"السورية للثقافة والمعرفة",67,73,,,,3,جمعية,,,1,دمشق,
1287,"الرضاء الخيرية في صيدنايا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1288,"نشير الخيرية",100,88,,,,3,جمعية,,,14,طرطوس,
1289,"التواصل الاجتماعية الثقافية",73,76,,,,3,جمعية,,,14,طرطوس,
1290,"فلسطين الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1291,"القزاز للإغاثة والتنمية",74,75,,,,3,جمعية,,,1,دمشق,
1292,"النور الخيرية بقدسيا",83,80,,,,3,جمعية,,,13,"ريف دمشق",
1293,"خطوة بخطوة للمعوقين ذهنيا بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1294,"الاحسان الخيرية/عرى/",57,55,,,,3,جمعية,,,5,السويداء,
1295,"الريان الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1296,"لون لرعاية المكفوفين وضعف البصر",73,76,,,,3,جمعية,,,14,طرطوس,
1297,"براعم فلسطين لتأهيل الاعاقة البصرية",67,73,,,,3,جمعية,,,1,دمشق,
1298,"البشائر الخيرية بدمشق",67,73,,,,3,جمعية,,,,,
1299,"الهيجانة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1300,"السورية للعمل التطوعي",67,73,,,,3,جمعية,,,2,حلب,
1301,"السورية للدعم الصحي والاجتماعي",67,73,,,,3,جمعية,,,1,دمشق,
1302,"تركب الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1303,"شباب للفنون",67,73,,,,3,جمعية,,,11,اللاذقية,
1304,امنيات,67,73,,,,1,مؤسسة,,,1,دمشق,
1305,"البشرى لمواكبة التطور المعرفي والثقافي",67,73,,,,3,جمعية,,,1,دمشق,
1306,المنزلة,73,76,,,,3,جمعية,,,14,طرطوس,
1307,"أحياء الشهيد حيان إبراهيم في طرطوس",73,76,,,,3,جمعية,,,14,طرطوس,
1308,"التين والزيتون الخيرية في ضهر مطرو",73,76,,,,3,جمعية,,,14,طرطوس,
1309,"الوفاء الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1310,"فرح التنموية",67,73,,,,3,جمعية,,,1,دمشق,
1311,"روح الخيرية",67,73,,,,3,جمعية,,,2,حلب,
1312,"الطبوغرافيين السوريين",57,55,,,,3,جمعية,,,5,السويداء,
1313,"الوطنية لإنماء السياحة في سوريا",67,73,,,,3,جمعية,,,11,اللاذقية,
1314,"رعاية الطلاب المتوفقين",67,73,,,,3,جمعية,,,11,اللاذقية,
1315,"الأصالة الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1316,"مجدلون البستان الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1317,"الوطنية لرعاية الطلاب المتفوقين",67,73,,,,3,جمعية,,,11,اللاذقية,
1318,"السورية للدسلكسيا ( العسر القرائي وصعوبات التعلم )",67,73,,,,3,جمعية,,,1,دمشق,
1319,"الحطانية الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1320,"بكا الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1321,"بيتنا لذوي الاحتياجات الخاصة",90,84,,,,3,جمعية,,,14,طرطوس,
1322,"جناتا الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1323,"الوصل الخيرية بالقامشلي",67,73,,,,3,جمعية,,,3,الحسكة,
1324,"السعدانة الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1325,"كاف الجاع الخيرية",83,78,,,,3,جمعية,,,14,طرطوس,
1326,"الرؤية النوعية",67,73,,,,1,مؤسسة,,,1,دمشق,
1327,"كريم للخدمات الاجتماعية والخيرية",83,80,,,,3,جمعية,,,9,حمص,
1328,"دنيا الفن",57,55,,,,3,جمعية,,,5,السويداء,
1329,"إيثار الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1330,وصل,73,76,,,,3,جمعية,,,14,طرطوس,
1331,"سنابل الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1332,"الصلاح الخيرية في بانياس",73,76,,,,3,جمعية,,,14,طرطوس,
1333,استدامة,67,73,,,,3,جمعية,,,1,دمشق,
1334,"عرنة الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1335,"السورية للوفاء للشهداء والجرحى",67,73,,,,3,جمعية,,,1,دمشق,
1336,"نادي المراسلين الشباب",67,73,,,,4,نادي,,,1,دمشق,
1337,"أحياء الضمير الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1338,"الشهيد السوري الخيرية",67,73,,,,3,جمعية,,,9,حمص,
1339,"ضاحية قدسيا الاجتماعية الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1340,"فطيرو الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1341,"مسحرة الخيرية",57,55,,,,3,جمعية,,,12,القنيطرة,
1342,"فرح للطفل المريض بالكلية",73,76,,,,3,جمعية,,,1,دمشق,
1343,"السورية للبيئة والتراث",73,76,,,,3,جمعية,,,14,طرطوس,
1344,"نجمة الصبح",67,73,,,,3,جمعية,,,1,دمشق,
1345,"شهداء طرطوس الخيرية",73,76,,,,3,جمعية,,,14,طرطوس,
1346,"النور والأمل",67,73,,,,3,جمعية,,,11,اللاذقية,
1347,"الام بتلم",67,73,,,,1,مؤسسة,,,1,دمشق,
1348,"السورية لأطباء طفل الانبوب",67,73,,,,3,جمعية,,,1,دمشق,
1349,"الوعد الصادق",67,73,,,,1,مؤسسة,,,1,دمشق,
1350,الزويتيني,73,76,,,,3,جمعية,,,14,طرطوس,
1351,"الوطنية لاندماج ذوي الاحتياجات في المجتمع",67,73,,,,3,جمعية,,,11,اللاذقية,
1352,"خربة عواد الخيرية",57,55,,,,3,جمعية,,,5,السويداء,
1353,"الوفاء لذوي الشهداء",73,76,,,,3,جمعية,,,14,طرطوس,
1354,"شباب رأس الشمرة التنموية",67,73,,,,3,جمعية,,,11,اللاذقية,
1355,"مخيم جرمانا الخيرية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1356,"نادي صافيتا السينمائي",73,76,,,,4,نادي,,,14,طرطوس,
1357,"الدراسات والابحاث الاكاديمية والاجتماعية",67,73,,,,1,مؤسسة,,,1,دمشق,
1358,"شباب الرقة التطوعي",73,76,,,,3,جمعية,,,4,الرقة,
1359,"غيث التنموية",67,73,,,,3,جمعية,,,7,"دير الزور",
1360,"نور الخيرية للإغاثة والتنمية",80,77,,,,3,جمعية,,,1,دمشق,
1361,"الشبطلية الخيرية",67,73,,,,3,جمعية,,,11,اللاذقية,
1362,"سنابل سوريا",67,73,,,,3,جمعية,,,9,حمص,
1363,"المحبة الخيرية في يبرود",73,76,,,,3,جمعية,,,13,"ريف دمشق",
1364,"مكتبة الاطفال العمومية",67,73,,,,3,جمعية,,,11,اللاذقية,
1365,"إنسان للدعم النفسي الاجتماعي للشباب",90,80,,,,1,مؤسسة,,,13,"ريف دمشق",
1366,"دير الصليب الخيرية",57,55,,,,3,جمعية,,,8,حماة,
1367,"أكاد للتنمية والثقافية",94,88,,,,3,جمعية,,,13,"ريف دمشق",
1368,الشهيد,67,73,,,,1,مؤسسة,,,9,حمص,
1369,"فيحاء الشام الخيرية",67,73,,,,3,جمعية,,,1,دمشق,
1370,"الخيرية الاجتماعية في جرمانا",73,76,,,,3,جمعية,,,13,"ريف دمشق",
